"DATE","NUMBER","CUSTOMERS","KGS NETTO","PEMBELIAN"
"11-May-22","14/MMP-JCU-PE/V/2022","TOHO BUSSAN KAISHA, LTD.","7,188.00","Debit"
"11-May-22","9/MMP-JCU-PD/V/2022","TOHO BUSSAN KAISHA, LTD.","2,730.00","Debit"
"11-May-22","12/MMP-NCR/V/2022","NICHIREI FRESH INC.","3,131.92","Debit"
"11-May-22","12/MMP-NCP/V/2022","NICHIREI FRESH INC.","10,301.28","Cek"
"12-May-22","7/MMP-SQ-TW/V/2022","SEA QUEENLET","12,522.80","Cek"
"12-May-22","6/MMP-SQ-PE/V/2022","SEA QUEENLET","907.66","Debit"
"14-May-22","9/MMP-KN/V/2022","TOHO BUSSAN KAISHA, LTD.","2,796.00","Debit"
"14-May-22","5/MMP-PE-DNS/V/2022","TOHO BUSSAN KAISHA, LTD.","1,370.88","Debit"
"14-May-22","5/MMP-NPE/V/2022","TOHO BUSSAN KAISHA, LTD.","3,056.00","Debit"
"14-May-22","3/MMP-PE-MAR/V/2022","TOHO BUSSAN KAISHA, LTD.","1,920.00","Debit"
"14-May-22","17/MMP-PE-TSJ/V/2022","TOHO BUSSAN KAISHA, LTD.","8,601.60","Debit"
"17-May-22","4/MMP-JCCU/V/2022(S)","JAPANESE CONSUMERS CO-OPERATIVE","1.53","Debit"
"18-May-22","21/MMP-PDNCR/V/2022","NICHIREI FRESH INC.","15,100.00","Cek"
"18-May-22","9/MMP-PE-MRH/V/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"18-May-22","10/MMP-KN/V/2022","TOHO BUSSAN KAISHA, LTD.","10,281.60","Cek"
"18-May-22","13/MMP-NCR/V/2022","NICHIREI FRESH INC.","3,783.56","Debit"
"18-May-22","13/MMP-NCP/V/2022","NICHIREI FRESH INC.","10,917.60","Debit"
"21-May-22","2/MMP-GDS/V/2022","GALLANT DACHAN SEAFOOD CO., LTD.","11,545.20","Debit"
"21-May-22","10/MMP-PE-OKY/V/2022","OKAYA AND CO., LTD","15,659.60","Cek"
"27-May-22","10/MMP-PE-MRH/V/2022","MARUHA NICHIRO CORPORATION","6,350.40","Debit"
"27-May-22","18/MMP-PE-TSJ/V/2022","TOHO BUSSAN KAISHA, LTD.","7,680.48","Debit"
"27-May-22","1/MMP-MZ-TW/V/2022","MIZUSIN FOODS CO., LTD","5,598.00","Debit"
"27-May-22","1/MMP-MZ-TR/V/2022","MIZUSIN FOODS CO., LTD","5,474.40","Debit"
"27-May-22","1/MMP-MZ-TP/V/2022","MIZUSIN FOODS CO., LTD","1,692.00","Debit"
"27-May-22","1/MMP-MZ-TQ/V/2022","MIZUSIN FOODS CO., LTD","4,130.40","Debit"
"28-May-22","5/MMP-NP-SM/V/2022","TOHO BUSSAN KAISHA, LTD.","10,992.00","Cek"
"28-May-22","3/MMP-EC-PE/V/2022","TOHO BUSSAN KAISHA, LTD.","2,400.00","Debit"
"28-May-22","6/MMP-PE-DNS/V/2022","TOHO BUSSAN KAISHA, LTD.","490.56","Debit"
"30-May-22","23/MMP-PDNCR/V/2022","NICHIREI FRESH INC.","15,050.00","Debit"
"30-May-22","14/MMP-NCR/V/2022","NICHIREI FRESH INC.","6,364.00","Debit"
"30-May-22","14/MMP-NCP/V/2022","NICHIREI FRESH INC.","9,684.00","Debit"
"30-May-22","3/MMP-PE-NCR/V/2022(S)","NICHIREI FRESH INC.","12.93","Debit"
"30-May-22","4/MMP-FS-NCR/V/2022(S)","NICHIREI FRESH INC.","59.40","Debit"
"30-May-22","11/MMP-PE-MRH/V/2022","MARUHA NICHIRO CORPORATION","5,292.00","Debit"
"30-May-22","10/MMP-JCU-PD/V/2022","TOHO BUSSAN KAISHA, LTD.","1,950.00","Debit"
"30-May-22","15/MMP-JCU-PE/V/2022","TOHO BUSSAN KAISHA, LTD.","7,188.00","Debit"
"31-May-22","5/MMP-PE-TYR/V/2022","TOYO REIZO CO., LTD","2,844.00","Debit"
"31-May-22","7/MMP-SQ-PE/V/2022","SEA QUEENLET CO., LTD.","3,055.20","Debit"
"31-May-22","8/MMP-SQ-TW/V/2022","SEA QUEENLET CO., LTD.","5,191.00","Debit"
"31-May-22","8/MMP-SQ-TR/V/2022","SEA QUEENLET CO., LTD.","600.00","Debit"
"2-Jun-22","24/MMP-PDNCR/VI/2022","NICHIREI FRESH INC.","15,070.00","Cek"
"2-Jun-22","11/MMP-PE-OKY/VI/2022","OKAYA AND CO., LTD","13,600.00","Cek"
"2-Jun-22","22/MMP-PDNCR/VI/2022","NICHIREI FRESH INC.","15,110.00","Cek"
"6-Jun-22","2/MMP-MRHN/VI/2022(S)","MARUHA NICHIRO CORPORATION","2.00","Debit"
"6-Jun-22","6/MMP-PE-YCY/VI/2022","YACHIYO CORPORATION","8,460.00","Debit"
"6-Jun-22","16/MMP-JCU-PE/VI/2022","TOHO BUSSAN KAISHA, LTD.","8,868.00","Debit"
"6-Jun-22","10/MMP-TBK-PM/VI/2022","TOHO BUSSAN KAISHA, LTD.","144.10","Debit"
"7-Jun-22","19/MMP-PE-TSJ/VI/2022","TOHO BUSSAN KAISHA, LTD.","8,601.60","Debit"
"7-Jun-22","15/MMP-NCR/VI/2022","NICHIREI FRESH INC.","15,822.72","Cek"
"7-Jun-22","5/MMP-FS-NCR/VI/2022(S)","NICHIREI FRESH INC.","23.46","Debit"
"8-Jun-22","12/MMP-PE-OKY/VI/2022","OKAYA AND CO., LTD","16,048.00","Cek"
"8-Jun-22","7/MMP-PE-DNS/VI/2022","TOHO BUSSAN KAISHA, LTD.","2,219.52","Debit"
"8-Jun-22","6/MMP-NP-SM/VI/2022","TOHO BUSSAN KAISHA, LTD.","2,368.00","Debit"
"8-Jun-22","11/MMP-KN/VI/2022","TOHO BUSSAN KAISHA, LTD.","4,989.60","Debit"
"8-Jun-22","11/MMP-TBK-PM/VI/2022","TOHO BUSSAN KAISHA, LTD.","11.10","Debit"
