,Tweets
71,"""Kecewa"" Masih Ada Pelanggaran HAM, Pemerintah Akan Evaluasi Panti Rehabilitasi Psikososial! https://t.co/yHVGGUI3Ap https://t.co/an4uM2FmFp"
72,"Deklarasi Dukung Ganjar Capres 2024, DPW PPP Banten: Sosok Ganjar Sangat Dekat dengan PPP https://t.co/RryYCkND8U https://t.co/Cniv8vQBDU"
73,Persija dan The Jakmania Gelar Shalat Gaib Serta Doa Bersama untuk Korban Kanjuruhan https://t.co/NvcKbMQYgC https://t.co/1CdIPUlUH4
74,"Rebut Kembali Kharkiv, Ukraina Temukan 530 Mayat: Sebagian Dihukum Gantung, 19 Jenazah Masih Bocah… https://t.co/MlosxwJAt0"
75,"Jembatan Penghubung Krimea-Rusia Kebakaran, Diyakini akibat Ledakan Tangki Bahan Bakar https://t.co/OgbW1PKNuE https://t.co/9etPrIO4G1"
76,Ganjar Pranowo Tolak Komentar Soal Politik Saat Kunjungi Desa Sayan di Bali https://t.co/8pH1BdKuLZ https://t.co/ZJbeAFP5yF
77,"Pengacara Rizky Billar Bantah Adanya KDRT Terhadap Lesti Kejora, Berikut Selengkapnya https://t.co/C9eVX2vJd8 https://t.co/9undWlJNo8"
78,"#SemarakSatria malam ini kedatangan tamu spesial dari Akademi TNI, yang merupakan integrasi antara tiga matra keban… https://t.co/UWd0PdqNRo"
79,"Kurang Maksimal di Penampilannya, Budi Harus Rela Tersingkir dari SUCI X | SHOW 7 SUCI X https://t.co/Et5EtYuBpV https://t.co/ebEnqwONkq"
80,Israel Bayar Kompensasi Kakek Palestina yang Tewas saat Ditahan demi Tak Dibawa ke Pengadilan… https://t.co/KWehEYCwWl
81,Tim #JalanMakan masih kasih info liburan dari Cilegon nih guys! Kali ini kita mau kasih tahu wahana main air yang r… https://t.co/6RZcw4rPun
82,"Viral Anak Sekolah Bawa Celurit di Bekasi, Diunggah Ahmad Sahroni https://t.co/1uW9lnxfMp https://t.co/nRZXtwmaGY"
83,Rio: Gua Juara SUCI IX Hanya Jadi Penonton SUCIX | SHOW 7 SUCI X https://t.co/pb0ArMM1Wr https://t.co/TiyDjfBt6w
84,"Sinyal Kuat Anies-AHY, AHY Sebut Punya Visi Misi Hingga Semangat yang Sama dengan Anies! https://t.co/QCbiup5Stj https://t.co/0zMnvf0LuR"
85,Ketua Umum PKB @cakimiNOW sebut koalisi Partai Gerindra dan PKB akan segera deklarasi Capres dan Cawapres 2024. Hal… https://t.co/83Zux53hHl
86,Aremania Menggelar Kirim Doa 7 Hari Korban Tragedi Kanjuruhan di Halaman Stadion Kanjuruhan https://t.co/NNaVSzINfR https://t.co/FAxHLm19hB
87,Pesona Alam Danau Perintis Dan Sejarahnya https://t.co/FH6BGxXGWN https://t.co/LTkkDrrmPk
88,"Hoaks mengenai perubahan ASI setelah vaksin covid-19, video hoax Presiden Jokowi mengunjungi Lesti, hingga video ho… https://t.co/sVBEDIcVQJ"
89,Manajer Liverpool Jurgen Klopp: Kami Harus Bagus sampai Kami Jadi Luar Biasa https://t.co/Ha9fWF1lZp https://t.co/gUHSfYsmR2
90,"Pemerintah, FIFA dan AFC Akan Bentuk Tim Transformasi Sepak Bola Indonesia Pasca Tragedi Kanjuruhan… https://t.co/5J4WXBkIlv"
91,"Dua gudang penyimpanan bahan cat di Bantul, Yogyakarta terbakar pada Jumat (7/10) malam. Tidak ada korban jiwa akib… https://t.co/quAXefFBYY"
92,"Dapatkan GoPay senilai Rp 4 juta dari #KuisKompascom

Sekarang, formatnya baru, poinnya lebih banyak, dan menangnya… https://t.co/NAiKEWBySC"
93,"Data Korban Kanjuruhan dari Polri: 547 Orang Korban Luka-luka, 23 Orang Luka Berat https://t.co/hny9kE3ymy https://t.co/KR3RsM0kH9"
94,"Kali ini Pinkan Mambo bertamu ke #KODEKompasTV dan curhat isi hatinya kepada Wulan Juliani tentang karir, perjuanga… https://t.co/GMGztyLnEg"
95,Kesibukan Ate Setelah Menjadi Juara 3 di SUCI IX | SHOW 7 SUCI X https://t.co/bRowkFuRai https://t.co/mbdFyzhQ9Q
96,"Sejumlah Perjalanan Kereta Api Terlambat akibat Penurunan Tanah, Ini Daftarnya https://t.co/ZV3Krbg9Dr https://t.co/Pny2GWCxLc"
97,"Jelang Big Match Arsenal vs Liverpool, Mikel Arteta: Pertandingan yang Sangat Menuntut https://t.co/qYsiXSy9Cs https://t.co/S9mIrZ2obU"
